athletics,M,100 metres,1932 Los Angeles,3, Arthur Jonath,Germany,GER,Europe
athletics,M,100 metres,1936 Berlin,1, Jesse Owens,United States,USA,North America
athletics,M,100 metres,1936 Berlin,2, Ralph Metcalfe,United States,USA,North America
athletics,M,100 metres,1936 Berlin,3, Tinus Osendarp,Netherlands,NED,Europe
athletics,M,100 metres,1948 London,1, Harrison Dillard,United States,USA,North America
athletics,M,100 metres,1948 London,2, Barney Ewell,United States,USA,North America
athletics,M,100 metres,1948 London,3, Lloyd LaBeach,Panama,PAN,North America
athletics,M,100 metres,1952 Helsinki,1, Lindy Remigino,United States,USA,North America
athletics,M,100 metres,1952 Helsinki,2, Herb McKenley,Jamaica,JAM,North America
athletics,M,100 metres,1952 Helsinki,3, McDonald Bailey,Great Britain,GBR,Europe
athletics,M,100 metres,1956 Melbourne,1, Bobby Morrow,United States,USA,North America
athletics,M,100 metres,1956 Melbourne,2, Thane Baker,United States,USA,North America
athletics,M,100 metres,1956 Melbourne,3, Hector Hogan,Australia,AUS,Oceania
athletics,M,100 metres,1960 Rome,1, Armin Hary,United Team of Germany,EUA,Europe
athletics,M,100 metres,1960 Rome,2, Dave Sime,United States,USA,North America
athletics,M,100 metres,1960 Rome,3, Peter Radford,Great Britain,GBR,Europe
athletics,M,100 metres,1964 Tokyo,1, Bob Hayes,United States,USA,North America
athletics,M,100 metres,1964 Tokyo,2, Enrique Figuerola,Cuba,CUB,North America
athletics,M,100 metres,1964 Tokyo,3, Harry Jerome,Canada,CAN,North America
athletics,M,100 metres,1968 Mexico City,1, Jim Hines,United States,USA,North America
athletics,M,100 metres,1968 Mexico City,2, Lennox Miller,Jamaica,JAM,North America
athletics,M,100 metres,1968 Mexico City,3, Charles Greene,United States,USA,North America
athletics,M,100 metres,1972 Munich,1, Valeriy Borzov,Soviet Union,URS,Asia
athletics,M,100 metres,1972 Munich,2, Robert Taylor,United States,USA,North America
athletics,M,100 metres,1972 Munich,3, Lennox Miller,Jamaica,JAM,North America
athletics,M,100 metres,1976 Montreal,1, Hasely Crawford,Trinidad and Tobago,TRI,South America
athletics,M,100 metres,1976 Montreal,2, Don Quarrie,Jamaica,JAM,North America
athletics,M,100 metres,1976 Montreal,3, Valeriy Borzov,Soviet Union,URS,Asia
athletics,M,100 metres,1980 Moscow,1, Allan Wells,Great Britain,GBR,Europe
athletics,M,100 metres,1980 Moscow,2, Silvio Leonard,Cuba,CUB,North America
athletics,M,100 metres,1980 Moscow,3, Petar Petrov,Bulgaria,BUL,Europe
athletics,M,100 metres,1984 Los Angeles,1, Carl Lewis,United States,USA,North America
athletics,M,100 metres,1984 Los Angeles,2, Sam Graddy,United States,USA,North America
athletics,M,100 metres,1984 Los Angeles,3, Ben Johnson,Canada,CAN,North America
athletics,M,100 metres,1988 Seoul,1, Carl Lewis,United States,USA,North America
athletics,M,100 metres,1988 Seoul,2, Linford Christie,Great Britain,GBR,Europe
athletics,M,100 metres,1988 Seoul,3, Calvin Smith,United States,USA,North America
athletics,M,100 metres,1992 Barcelona,1, Linford Christie,Great Britain,GBR,Europe
athletics,M,100 metres,1992 Barcelona,2, Frankie Fredericks,Namibia,NAM,Africa
athletics,M,100 metres,1992 Barcelona,3, Dennis Mitchell,United States,USA,North America
athletics,M,100 metres,1996 Atlanta,1, Donovan Bailey,Canada,CAN,North America
athletics,M,100 metres,1996 Atlanta,2, Frankie Fredericks,Namibia,NAM,Africa
athletics,M,100 metres,1996 Atlanta,3, Ato Boldon,Trinidad and Tobago,TRI,South America
athletics,M,100 metres,2000 Sydney,1, Maurice Greene,United States,USA,North America
athletics,M,100 metres,2000 Sydney,2, Ato Boldon,Trinidad and Tobago,TRI,South America
athletics,M,100 metres,2000 Sydney,3, Obadele Thompson,Barbados,BAR,North America
athletics,M,100 metres,2004 Athens,1, Justin Gatlin,United States,USA,North America
athletics,M,100 metres,2004 Athens,2, Francis Obikwelu,Portugal,POR,Europe
athletics,M,100 metres,2004 Athens,3, Maurice Greene,United States,USA,North America
athletics,M,100 metres,2008 Beijing,1, Usain Bolt,Jamaica,JAM,North America
athletics,M,100 metres,2008 Beijing,2, Richard Thompson,Trinidad and Tobago,TRI,South America
athletics,M,100 metres,2008 Beijing,3, Walter Dix,United States,USA,North America
